time,temperature
   0,       24.62
   1,       24.62
   2,       24.62
   3,       24.60
   4,       24.60
   5,       24.60
   6,       24.58
   7,       24.58
   8,       24.55
   9,       24.53
  10,       24.53
  11,       24.48
  12,       24.46
  13,       24.44
  14,       24.42
  15,       24.39
  16,       24.39
  17,       24.37
  18,       24.35
  19,       24.32
  20,       24.30
  21,       24.30
  22,       24.28
  23,       24.26
  24,       24.23
  25,       24.23
  26,       24.21
  27,       24.19
  28,       24.16
  29,       24.16
  30,       24.14
  31,       24.12
  32,       24.12
  33,       24.10
  34,       24.07
  35,       24.05
  36,       24.05
  37,       24.03
  38,       24.03
  39,       24.00
  40,       23.98
  41,       23.98
  42,       23.96
  43,       23.93
  44,       23.93
  45,       23.91
  46,       23.91
  47,       23.89
  48,       23.87
  49,       23.87
  50,       23.84
  51,       23.84
  52,       23.82
  53,       23.80
  54,       23.80
  55,       23.80
  56,       23.77
  57,       23.77
  58,       23.75
  59,       23.75
  60,       23.73
  61,       23.73
  62,       23.70
  63,       23.70
  64,       23.70
  65,       23.68
  66,       23.68
  67,       23.66
  68,       23.66
  69,       23.64
  70,       23.73
  71,       24.44
  72,       25.72
  73,       25.63
  74,       27.57
  75,       30.63
  76,       29.23
  77,       29.44
  78,       32.68
  79,       34.09
  80,       33.97
  81,       30.02
  82,       30.83
  83,       31.02
  84,       28.65
  85,       28.91
  86,       29.07
  87,       29.07
  88,       29.07
  89,       29.12
  90,       29.55
  91,       29.52
  92,       29.55
  93,       29.80
  94,       29.61
  95,       32.83
  96,       32.13
  97,       33.19
  98,       33.57
  99,       33.15
 100,       32.51
 101,       32.17
 102,       33.38
 103,       32.86
 104,       32.30
 105,       30.11
 106,       28.99
 107,       28.37
 108,       27.09
 109,       27.16
 110,       27.67
 111,       27.69
 112,       27.62
 113,       27.57
 114,       27.52
 115,       27.43
 116,       27.28
 117,       27.14
 118,       27.02
 119,       26.90
 120,       26.83
 121,       27.26
 122,       27.14
 123,       27.09
 124,       27.09
 125,       27.50
 126,       27.45
 127,       27.33
 128,       27.33
 129,       28.60
 130,       29.44
 131,       32.37
 132,       33.65
 133,       33.93
 134,       34.09
 135,       33.85
 136,       32.61
 137,       32.34
 138,       32.07
 139,       31.83
 140,       31.64
 141,       33.34
 142,       33.15
 143,       32.65
 144,       32.72
 145,       32.68
 146,       33.53
 147,       33.61
 148,       33.85
 149,       34.01
 150,       34.13
 151,       34.38
 152,       34.17
 153,       33.93
 154,       33.01
 155,       31.48
 156,       32.34
 157,       32.34
 158,       32.23
 159,       32.17
 160,       33.49
 161,       34.09
 162,       34.72
 163,       35.36
 164,       35.65
 165,       35.50
 166,       34.95
 167,       34.51
 168,       34.25
 169,       34.05
 170,       34.09
 171,       34.30
 172,       34.25
 173,       34.01
 174,       33.61
 175,       32.30
 176,       33.30
 177,       33.34
 178,       33.81
 179,       32.34
